,report_date,total_cases,total_deaths,total_recovered,active_cases,country_region_name,new_cases,new_cases_sma,new_deaths,new_deaths_ratio,new_deaths_sma,new_recovered,new_recovered_sma
0,03/11,80921,3161,61644,16116,China,,,,0.0,,,
1,03/12,80932,3172,62901,14859,China,11.0,,11.0,0.0034799114204364656,,1257.0,
2,03/13,80945,3180,64196,13569,China,13.0,,8.0,0.0025220680958386588,,1295.0,
3,03/14,80977,3193,65660,12124,China,32.0,,13.0,0.004088050314465352,,1464.0,
4,03/15,81003,3203,67017,10783,China,26.0,,10.0,0.003131850923896007,,1357.0,
5,03/16,81033,3217,67910,9906,China,30.0,,14.0,0.004370902279113409,,893.0,
6,03/17,81058,3230,68798,9030,China,25.0,,13.0,0.004041032017407575,,888.0,
7,03/18,81102,3241,69755,8106,China,44.0,25.857142857142858,11.0,0.0034055727554178628,11.428571428571429,957.0,1158.7142857142858
8,03/19,81156,3249,70535,7372,China,54.0,32.0,8.0,0.002468373958654846,11.0,780.0,1090.5714285714287
9,03/20,81250,3253,71266,6731,China,94.0,43.57142857142857,4.0,0.001231148045552466,10.428571428571429,731.0,1010.0
10,03/21,81305,3259,71857,6189,China,55.0,46.857142857142854,6.0,0.0018444512757453957,9.428571428571429,591.0,885.2857142857143
11,03/22,81397,3265,72362,5770,China,92.0,56.285714285714285,6.0,0.0018410555385086624,8.857142857142858,505.0,763.5714285714286
12,03/23,81496,3274,72819,5403,China,99.0,66.14285714285714,9.0,0.0027565084226646164,8.142857142857142,457.0,701.2857142857143
13,03/24,81591,3281,73274,5036,China,95.0,76.14285714285714,7.0,0.002138057422113704,7.285714285714286,455.0,639.4285714285714
14,03/25,81661,3285,73767,4609,China,70.0,79.85714285714286,4.0,0.0012191405059434057,6.285714285714286,493.0,573.1428571428571
15,03/26,81782,3291,74175,4316,China,121.0,89.42857142857143,6.0,0.0018264840182649067,6.0,408.0,520.0
16,03/27,81897,3296,74714,3887,China,115.0,92.42857142857143,5.0,0.0015192950470981348,6.142857142857143,539.0,492.57142857142856
17,03/28,81999,3299,75094,3606,China,102.0,99.14285714285714,3.0,0.0009101941747573505,5.714285714285714,380.0,462.42857142857144
18,03/29,82122,3304,75576,3242,China,123.0,103.57142857142857,5.0,0.0015156107911489247,5.571428571428571,482.0,459.14285714285717
19,03/30,82198,3308,75917,2973,China,76.0,100.28571428571429,4.0,0.001210653753026536,4.857142857142857,341.0,442.57142857142856
20,03/31,82279,3309,76200,2770,China,81.0,98.28571428571429,1.0,0.0003022974607014284,4.0,283.0,418.0
21,04/01,82361,3316,76399,2646,China,82.0,100.0,7.0,0.0021154427319431957,4.428571428571429,199.0,376.0
22,04/02,82432,3322,76565,2545,China,71.0,92.85714285714286,6.0,0.001809408926417344,4.428571428571429,166.0,341.42857142857144
23,04/03,82511,3326,76760,2425,China,79.0,87.71428571428571,4.0,0.0012040939193256328,4.285714285714286,195.0,292.2857142857143
